station_name,timestamp,pv_voltage_V,pv_current_A,pv_power_W,battery_voltage_V,battery_current_A,battery_soc_%,controller_temp_C,charging_status,load_current_A,load_power_W,energy_generated_today_kWh,energy_consumed_today_kWh,battery_voltage_max_today_V,battery_voltage_min_today_V,energy_total_generated_kWh,load_voltage_V
Anganoy,2026-06-13 10:18:14,40.54,0.53,2171.0,14.67,1.48,100.0,9.02,9.0,0.26,381.0,0.0,0.0,14.67,14.67,0.14,14.67
Anganoy,2026-06-13 10:30:04,39.65,0.52,2068.0,14.67,1.48,100.0,9.14,9.0,0.26,381.0,0.01,0.0,14.67,14.67,0.14,14.67
Anganoy,2026-06-13 10:41:37,41.76,0.34,1420.0,14.06,1.01,99.0,9.16,5.0,0.26,365.0,0.01,0.0,14.67,14.01,0.15,14.06
Anganoy,2026-06-13 10:53:16,40.4,0.37,1518.0,14.06,1.08,99.0,9.22,5.0,0.26,365.0,0.01,0.0,14.67,14.01,0.15,14.06
Anganoy,2026-06-13 11:04:58,42.0,0.33,1420.0,14.06,0.94,99.0,9.26,5.0,0.26,365.0,0.02,0.0,14.67,14.01,0.15,14.06
Anganoy,2026-06-13 11:16:37,42.42,0.33,1420.0,14.06,0.94,99.0,9.27,5.0,0.26,365.0,0.02,0.0,14.67,14.01,0.15,14.06
Anganoy,2026-06-13 11:28:21,42.0,0.29,1138.0,14.06,0.81,99.0,9.31,5.0,0.26,365.0,0.02,0.0,14.67,14.01,0.16,14.06
Anganoy,2026-06-13 11:40:05,42.51,0.28,1223.0,14.06,0.87,99.0,9.4,5.0,0.26,365.0,0.02,0.0,14.67,14.01,0.16,14.06
Anganoy,2026-06-13 11:51:51,42.51,0.24,1040.0,14.06,0.74,99.0,9.5,5.0,0.26,365.0,0.03,0.0,14.67,14.01,0.16,14.06
Anganoy,2026-06-13 12:03:25,43.31,0.26,1138.0,14.06,0.81,99.0,9.63,5.0,0.26,365.0,0.03,0.0,14.67,14.01,0.16,14.06
Anganoy,2026-06-13 12:15:04,42.7,0.24,1040.0,14.06,0.74,99.0,9.75,5.0,0.26,365.0,0.03,0.0,14.67,14.01,0.17,14.06
Anganoy,2026-06-13 12:26:37,40.92,0.27,1138.0,14.06,0.81,99.0,9.85,5.0,0.26,365.0,0.03,0.0,14.67,14.01,0.17,14.06
