station_name,timestamp,pv_voltage_V,pv_current_A,pv_power_W,battery_voltage_V,battery_current_A,battery_soc_%,controller_temp_C,charging_status,load_current_A,load_power_W,energy_generated_today_kWh,energy_consumed_today_kWh,battery_voltage_max_today_V,battery_voltage_min_today_V,energy_total_generated_kWh,load_voltage_V
MijitayoBajo,2026-06-09 22:12:35,0.2,0.0,0.0,12.77,0.0,29.0,25.0,1.0,0.59,587.0,0.01,0.05,14.04,12.76,315.02,12.77
MijitayoBajo,2026-06-09 22:24:41,0.2,0.0,0.0,12.76,0.0,28.0,25.0,1.0,0.58,714.0,0.01,0.05,14.04,12.76,315.02,12.76
MijitayoBajo,2026-06-09 22:36:33,0.2,0.0,0.0,12.76,0.0,28.0,25.0,1.0,0.59,625.0,0.01,0.05,14.04,12.74,315.02,12.76
MijitayoBajo,2026-06-09 22:48:37,0.2,0.0,0.0,12.75,0.0,28.0,25.0,1.0,0.61,726.0,0.01,0.05,14.04,12.74,315.02,12.74
MijitayoBajo,2026-06-09 23:00:34,0.21,0.0,0.0,12.74,0.0,27.0,25.0,1.0,0.54,904.0,0.01,0.05,14.04,12.73,315.02,12.74
MijitayoBajo,2026-06-09 23:12:34,0.2,0.0,0.0,12.73,0.0,28.0,25.0,1.0,0.5,763.0,0.01,0.05,14.04,12.72,315.02,12.73
MijitayoBajo,2026-06-09 23:24:31,0.2,0.0,0.0,12.72,0.0,27.0,25.0,1.0,0.51,775.0,0.01,0.05,14.04,12.71,315.02,12.72
MijitayoBajo,2026-06-09 23:36:33,0.21,0.0,0.0,12.71,0.0,26.0,25.0,1.0,0.62,826.0,0.01,0.06,14.04,12.7,315.02,12.71
MijitayoBajo,2026-06-09 23:48:35,0.2,0.0,0.0,12.69,0.0,25.0,25.0,1.0,0.61,723.0,0.01,0.06,14.04,12.69,315.02,12.7
MijitayoBajo,2026-06-10 00:00:46,0.2,0.0,0.0,12.67,0.0,25.0,25.0,1.0,0.56,634.0,0.01,0.06,14.04,12.67,315.02,12.67
MijitayoBajo,2026-06-10 00:13:09,0.21,0.0,0.0,12.67,0.0,25.0,25.0,1.0,0.58,696.0,0.01,0.06,14.04,12.65,315.02,12.67
MijitayoBajo,2026-06-10 00:25:41,0.2,0.0,0.0,12.67,0.0,25.0,25.0,1.0,0.49,747.0,0.01,0.06,14.04,12.65,315.02,12.67
MijitayoBajo,2026-06-10 00:37:30,0.2,0.0,0.0,12.66,0.0,25.0,25.0,1.0,0.63,784.0,0.01,0.06,14.04,12.65,315.02,12.65
MijitayoBajo,2026-06-10 00:49:24,0.2,0.0,0.0,12.65,0.0,24.0,25.0,1.0,0.59,809.0,0.01,0.06,14.04,12.64,315.02,12.65
MijitayoBajo,2026-06-10 01:01:51,0.21,0.0,0.0,12.64,0.0,24.0,25.0,1.0,0.58,796.0,0.01,0.07,14.04,12.64,315.02,12.64
MijitayoBajo,2026-06-10 01:13:53,0.2,0.0,0.0,12.64,0.0,24.0,25.0,1.0,0.66,695.0,0.01,0.07,14.04,12.63,315.02,12.64
MijitayoBajo,2026-06-10 01:26:06,0.2,0.0,0.0,12.63,0.0,23.0,25.0,1.0,0.6,758.0,0.01,0.07,14.04,12.62,315.02,12.63
MijitayoBajo,2026-06-10 01:37:58,0.21,0.0,0.0,12.63,0.0,23.0,25.0,1.0,0.52,732.0,0.01,0.07,14.04,12.61,315.02,12.63
MijitayoBajo,2026-06-10 01:49:49,0.2,0.0,0.0,12.62,0.0,23.0,25.0,1.0,0.56,643.0,0.01,0.07,14.04,12.61,315.02,12.62
MijitayoBajo,2026-06-10 02:02:00,0.2,0.0,0.0,12.61,0.0,22.0,25.0,1.0,0.54,693.0,0.01,0.07,14.04,12.6,315.02,12.6
MijitayoBajo,2026-06-10 02:13:48,0.2,0.0,0.0,12.6,0.0,22.0,25.0,1.0,0.54,768.0,0.01,0.07,14.04,12.59,315.02,12.6
MijitayoBajo,2026-06-10 02:25:41,0.2,0.0,0.0,12.6,0.0,22.0,25.0,1.0,0.5,693.0,0.01,0.08,14.04,12.58,315.02,12.6
MijitayoBajo,2026-06-10 02:37:28,0.2,0.0,0.0,12.6,0.0,22.0,25.0,1.0,0.53,705.0,0.01,0.08,14.04,12.58,315.02,12.59
MijitayoBajo,2026-06-10 02:49:37,0.2,0.0,0.0,12.59,0.0,21.0,25.0,1.0,0.71,679.0,0.01,0.08,14.04,12.57,315.02,12.58
MijitayoBajo,2026-06-10 03:02:04,0.2,0.0,0.0,12.57,0.0,22.0,25.0,1.0,0.48,679.0,0.01,0.08,14.04,12.56,315.02,12.57
MijitayoBajo,2026-06-10 03:14:00,0.2,0.0,0.0,12.56,0.0,21.0,25.0,1.0,0.65,741.0,0.01,0.08,14.04,12.55,315.02,12.56
MijitayoBajo,2026-06-10 03:25:54,0.2,0.0,0.0,12.56,0.0,21.0,25.0,1.0,0.6,816.0,0.01,0.08,14.04,12.54,315.02,12.56
MijitayoBajo,2026-06-10 03:37:53,0.21,0.0,0.0,12.55,0.0,20.0,25.0,1.0,0.66,702.0,0.01,0.09,14.04,12.54,315.02,12.55
MijitayoBajo,2026-06-10 03:49:53,0.21,0.0,0.0,12.55,0.0,21.0,25.0,1.0,0.58,790.0,0.01,0.09,14.04,12.53,315.02,12.54
MijitayoBajo,2026-06-10 04:02:00,0.21,0.0,0.0,12.54,0.0,20.0,25.0,1.0,0.61,751.0,0.01,0.09,14.04,12.52,315.02,12.54
MijitayoBajo,2026-06-10 04:14:01,0.21,0.0,0.0,12.53,0.0,20.0,25.0,1.0,0.52,689.0,0.01,0.09,14.04,12.51,315.02,12.53
MijitayoBajo,2026-06-10 04:25:57,0.2,0.0,0.0,12.52,0.0,20.0,25.0,1.0,0.52,701.0,0.01,0.09,14.04,12.51,315.02,12.52
MijitayoBajo,2026-06-10 04:37:53,0.2,0.0,0.0,12.51,0.0,19.0,25.0,1.0,0.56,837.0,0.01,0.09,14.04,12.49,315.02,12.51
MijitayoBajo,2026-06-10 04:49:48,0.2,0.0,0.0,12.5,0.0,19.0,25.0,1.0,0.59,625.0,0.01,0.09,14.04,12.49,315.02,12.5
MijitayoBajo,2026-06-10 05:01:45,0.2,0.0,0.0,12.49,0.0,18.0,25.0,1.0,0.57,724.0,0.01,0.1,14.04,12.48,315.02,12.49
MijitayoBajo,2026-06-10 05:14:49,0.2,0.0,0.0,12.49,0.0,18.0,25.0,1.0,0.57,661.0,0.01,0.1,14.04,12.47,315.02,12.48
MijitayoBajo,2026-06-10 05:26:46,0.21,0.0,0.0,12.48,0.0,18.0,25.0,1.0,0.51,698.0,0.01,0.1,14.04,12.46,315.02,12.48
MijitayoBajo,2026-06-10 05:38:22,0.83,0.0,0.0,12.48,0.0,18.0,25.0,1.0,0.54,723.0,0.01,0.1,14.04,12.46,315.02,12.48
MijitayoBajo,2026-06-10 05:50:41,12.42,0.0,0.0,12.46,0.0,17.0,25.0,1.0,0.57,635.0,0.01,0.1,14.04,12.45,315.02,12.47
MijitayoBajo,2026-06-10 06:02:42,13.39,0.0,0.0,12.44,0.01,17.0,25.0,11.0,0.62,845.0,0.01,0.1,14.04,12.43,315.02,12.44
MijitayoBajo,2026-06-10 06:15:04,13.44,0.02,62.0,12.44,0.03,16.0,25.0,11.0,0.6,870.0,0.01,0.1,14.04,12.43,315.02,12.44
MijitayoBajo,2026-06-10 06:27:13,13.53,0.17,199.0,12.47,0.11,18.0,25.0,11.0,0.6,685.0,0.01,0.11,14.04,12.43,315.02,12.47
MijitayoBajo,2026-06-10 06:39:21,13.54,0.18,249.0,12.47,0.27,17.0,25.0,11.0,0.5,786.0,0.01,0.11,14.04,12.43,315.02,12.47
MijitayoBajo,2026-06-10 06:51:34,13.59,0.38,412.0,12.49,0.34,18.0,25.0,11.0,0.53,761.0,0.01,0.11,14.04,12.43,315.02,12.5
MijitayoBajo,2026-06-10 07:03:42,13.63,0.34,587.0,12.51,0.34,19.0,25.0,11.0,0.55,738.0,0.01,0.11,14.04,12.43,315.02,12.51
MijitayoBajo,2026-06-10 07:15:40,13.71,0.47,778.0,12.55,0.56,20.0,25.0,11.0,0.53,727.0,0.01,0.11,14.04,12.43,315.02,12.55
MijitayoBajo,2026-06-10 07:27:59,13.79,0.61,782.0,12.62,0.67,23.0,25.0,11.0,0.64,618.0,0.01,0.11,14.04,12.43,315.02,12.62
MijitayoBajo,2026-06-10 07:39:54,13.71,0.37,553.0,12.58,0.48,21.0,25.0,11.0,0.53,691.0,0.01,0.11,14.04,12.43,315.02,12.58
MijitayoBajo,2026-06-10 07:51:44,13.64,0.38,475.0,12.51,0.39,19.0,25.0,11.0,0.58,676.0,0.02,0.12,14.04,12.43,315.03,12.52
MijitayoBajo,2026-06-10 08:03:53,63.26,0.47,2903.0,13.26,2.24,47.0,25.0,11.0,0.49,676.0,0.02,0.12,14.04,12.43,315.03,13.26
MijitayoBajo,2026-06-10 08:16:03,64.36,0.58,3740.0,13.37,2.77,51.0,25.0,11.0,0.51,708.0,0.03,0.12,14.04,12.43,315.04,13.36
MijitayoBajo,2026-06-10 08:28:20,67.55,0.55,3756.0,13.38,2.82,51.0,25.0,11.0,0.49,748.0,0.03,0.12,14.04,12.43,315.04,13.38
MijitayoBajo,2026-06-10 08:40:28,68.65,0.73,5018.0,13.49,3.75,55.0,25.0,11.0,0.54,782.0,0.04,0.12,14.04,12.43,315.05,13.49
MijitayoBajo,2026-06-10 08:53:10,72.32,0.91,6684.0,13.66,4.84,62.0,25.0,11.0,0.56,697.0,0.06,0.12,14.04,12.43,315.07,13.66
MijitayoBajo,2026-06-10 09:05:29,69.79,1.25,8841.0,13.99,6.3,69.0,25.0,11.0,0.63,644.0,0.07,0.12,14.04,12.43,315.08,13.99
MijitayoBajo,2026-06-10 09:17:38,84.47,0.87,7351.0,14.34,5.16,88.0,25.0,11.0,0.58,773.0,0.09,0.13,14.53,12.43,315.1,14.34
MijitayoBajo,2026-06-10 09:29:39,82.03,0.71,5799.0,14.32,4.03,89.0,25.0,11.0,0.5,758.0,0.1,0.13,14.53,12.43,315.11,14.33
